TrialID,SubjID,block,btrial,tord,RT,Selection
185,2,13,5,65,3856,1
186,2,8,1,66,4095,1
187,2,8,2,67,3295,0
188,2,8,3,68,2254,1
189,2,8,4,69,1973,1
190,2,8,5,70,8652,0
191,2,18,1,71,4777,1
192,2,18,2,72,3264,1
193,2,18,3,73,2273,0
194,2,18,4,74,3445,1
195,2,18,5,75,3495,0
196,2,23,1,76,4757,1
197,2,23,2,77,4055,0
198,2,23,3,78,1823,0
199,2,23,4,79,2013,0
200,2,23,5,80,5228,0
201,2,5,1,81,8483,1
202,2,5,2,82,9213,1
203,2,5,3,83,1813,0
204,2,5,4,84,3855,1
205,2,5,5,85,7341,1
206,2,4,1,86,5508,0
207,2,4,2,87,7431,0
208,2,4,3,88,2153,1
209,2,4,4,89,2163,0
210,2,4,5,90,7030,1
211,2,20,1,91,6820,0
212,2,20,2,92,7200,0
213,2,20,3,93,2333,0
214,2,20,4,94,3124,0
215,2,20,5,95,2974,1
216,2,19,1,96,6290,1
217,2,19,2,97,8472,0
218,2,19,3,98,1893,0
219,2,19,4,99,4507,0
220,2,19,5,100,5207,0
221,2,7,1,101,9063,1
222,2,7,2,102,5808,1
223,2,7,3,103,2563,1
224,2,7,4,104,2613,0
225,2,7,5,105,8723,0
226,2,16,1,106,3685,1
227,2,16,2,107,3064,1
228,2,16,3,108,1542,1
229,2,16,4,109,2374,1
230,2,16,5,110,3926,1
231,2,1,1,111,7140,1
232,2,1,2,112,4786,1
233,2,1,3,113,1582,0
234,2,1,4,114,2814,1
235,2,1,5,115,6139,0
236,2,10,1,116,5137,0
237,2,10,2,117,3955,0
238,2,10,3,118,1552,1
239,2,10,4,119,2183,1
240,2,10,5,120,9334,0
241,3,20,1,1,6900,0
242,3,20,2,2,5198,0
243,3,20,3,3,3645,0
244,3,20,4,4,3715,0
245,3,20,5,5,2664,1
246,3,12,1,6,3284,1
247,3,12,2,7,3716,1
248,3,12,3,8,2624,1
249,3,12,4,9,1943,1
250,3,12,5,10,6279,0
251,3,23,1,11,4456,1
252,3,23,2,12,7291,0
253,3,23,3,13,2003,0
254,3,23,4,14,2003,0
255,3,23,5,15,4056,0
256,3,7,1,16,7802,1
257,3,7,2,17,4987,1
258,3,7,3,18,2554,1
259,3,7,4,19,3505,0
260,3,7,5,20,9063,0
261,3,24,1,21,10575,0
262,3,24,2,22,3165,0
263,3,24,3,23,1182,0
264,3,24,4,24,3605,0
265,3,24,5,25,3966,1
266,3,1,1,26,5057,1
267,3,1,2,27,5247,1
268,3,1,3,28,2895,0
269,3,1,4,29,2413,1
270,3,1,5,30,6299,0
271,3,6,1,31,4887,0
272,3,6,2,32,6860,1
273,3,6,3,33,1572,1
274,3,6,4,34,1942,1
